n,n*n,sqrt(n)
0,0,0.0
1,1,1.0
2,4,1.4142135623730951
3,9,1.7320508075688772
4,16,2.0
5,25,2.23606797749979
6,36,2.449489742783178
7,49,2.6457513110645907
8,64,2.8284271247461903
9,81,3.0
10,100,3.1622776601683795
11,121,3.3166247903554
12,144,3.4641016151377544
13,169,3.605551275463989
14,196,3.7416573867739413
15,225,3.872983346207417
16,256,4.0
17,289,4.123105625617661
18,324,4.242640687119285
19,361,4.358898943540674
20,400,4.47213595499958
21,441,4.58257569495584
22,484,4.69041575982343
23,529,4.795831523312719
24,576,4.898979485566356
25,625,5.0
26,676,5.0990195135927845
27,729,5.196152422706632
28,784,5.291502622129181
29,841,5.385164807134504
30,900,5.477225575051661
31,961,5.5677643628300215
32,1024,5.656854249492381
33,1089,5.744562646538029
34,1156,5.830951894845301
35,1225,5.916079783099616
36,1296,6.0
37,1369,6.082762530298219
38,1444,6.164414002968976
39,1521,6.244997998398398
40,1600,6.324555320336759
41,1681,6.4031242374328485
42,1764,6.48074069840786
43,1849,6.557438524302
44,1936,6.6332495807108
45,2025,6.708203932499369
46,2116,6.782329983125268
47,2209,6.855654600401044
48,2304,6.928203230275509
49,2401,7.0
50,2500,7.0710678118654755
51,2601,7.14142842854285
52,2704,7.211102550927978
53,2809,7.280109889280518
54,2916,7.3484692283495345
55,3025,7.416198487095663
56,3136,7.483314773547883
57,3249,7.54983443527075
58,3364,7.615773105863909
59,3481,7.681145747868608
60,3600,7.745966692414834
61,3721,7.810249675906654
62,3844,7.874007874011811
63,3969,7.937253933193772
64,4096,8.0
65,4225,8.06225774829855
66,4356,8.12403840463596
67,4489,8.18535277187245
68,4624,8.246211251235321
69,4761,8.306623862918075
70,4900,8.366600265340756
71,5041,8.426149773176359
72,5184,8.48528137423857
73,5329,8.54400374531753
74,5476,8.602325267042627
75,5625,8.660254037844387
76,5776,8.717797887081348
77,5929,8.774964387392123
78,6084,8.831760866327848
79,6241,8.888194417315589
80,6400,8.94427190999916
81,6561,9.0
82,6724,9.055385138137417
83,6889,9.1104335791443
84,7056,9.16515138991168
85,7225,9.219544457292887
86,7396,9.273618495495704
87,7569,9.327379053088816
88,7744,9.38083151964686
89,7921,9.433981132056603
90,8100,9.486832980505138
91,8281,9.539392014169456
92,8464,9.591663046625438
93,8649,9.643650760992955
94,8836,9.695359714832659
95,9025,9.746794344808963
96,9216,9.797958971132712
97,9409,9.848857801796104
98,9604,9.899494936611665
99,9801,9.9498743710662
100,10000,10.0
